Date,Ticker,Ticker_name,Exposure,Category,model_score_wtd_change,current_model_score,previous_model_score
2026-05-19,LUV,SOUTHWEST AIRLINES CO.,Industrials,Industrials,-4.0,32.0,36.0
2026-05-19,LVS,LAS VEGAS SANDS CORP.,Consumer Discretionary,Consumer Discretionary,-7.0,-15.0,-8.0
2026-05-19,LYB,LYONDELLBASELL INDUSTRIES NV,Materials,Materials,24.0,-7.0,-31.0
2026-05-19,LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,Communication Services,1.0,-62.0,-63.0
2026-05-19,MA,MASTERCARD INC..,Financials,Financials,-9.0,-5.0,4.0
2026-05-19,MAA,"MID-AMERICA APARTMENT COMMUNITIES, INC.",Real Estate,Real Estate,-54.0,-67.0,-13.0
2026-05-19,MAR,"MARRIOTT INTERNATIONAL, INC.",Consumer Discretionary,Consumer Discretionary,-6.0,14.0,20.0
2026-05-19,MAS,MASCO ,Industrials,Industrials,-21.0,-19.0,2.0
2026-05-19,MCD,MCDONALD'S ,Consumer Discretionary,Consumer Discretionary,19.0,54.0,35.0
2026-05-19,MCHI,ISHARES:MSCI CHINA,,Foreign,0.0,48.0,48.0
2026-05-19,MCHP,MICROCHIP TECHNOLOGY INC.,Information Technology,Information Technology,16.0,-15.0,-31.0
2026-05-19,MCK,MCKESSON ,Health Care,Health Care,0.0,0.0,0.0
2026-05-19,MCO,MOODY'S ,Financials,Financials,3.0,12.0,9.0
2026-05-19,MDLZ,"MONDELEZ INTERNATIONAL, INC.",Consumer Staples,Consumer Staples,-18.0,-53.0,-35.0
2026-05-19,MDT,MEDTRONIC PUBLIC LIMITED COMPANY,Health Care,Health Care,-9.0,55.0,64.0
2026-05-19,MDY,SPDR S&P MIDCAP 400 ETF,,Sector & Style ETFs,5.0,14.0,9.0
2026-05-19,MET,"METLIFE, INC.",Financials,Financials,23.0,-7.0,-30.0
2026-05-19,META,"META PLATFORMS, INC.",Communication Services,Communication Services,-17.0,-23.0,-6.0
2026-05-19,MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,Consumer Discretionary,-33.0,3.0,36.0
2026-05-19,MKC,"MCCORMICK & COMPANY, INC.",Consumer Staples,Consumer Staples,24.0,36.0,12.0
2026-05-19,MLM,"MARTIN MARIETTA MATERIALS, INC.",Materials,Materials,-2.0,2.0,4.0
2026-05-19,MMM,3M COMPANY,Industrials,Industrials,-10.0,3.0,13.0
2026-05-19,MNST,MONSTER BEVERAGE ,Consumer Staples,Consumer Staples,0.0,-23.0,-23.0
2026-05-19,MO,"ALTRIA GROUP, INC.",Consumer Staples,Consumer Staples,-11.0,-9.0,2.0
2026-05-19,MOS,THE MOSAIC COMPANY,Materials,Materials,-23.0,-11.0,12.0
2026-05-19,MP,MP MATERIALS CORP,,MR Discretion,-44.0,-20.0,24.0
2026-05-19,MPC,MARATHON PETROLEUM ,Energy,Energy,-3.0,-40.0,-37.0
2026-05-19,MPWR,"MONOLITHIC POWER SYSTEMS, INC.",Information Technology,Information Technology,8.0,6.0,-2.0
2026-05-19,MRK,"MERCK & CO., INC.",Health Care,Health Care,24.0,23.0,-1.0
2026-05-19,MRNA,"MODERNA, INC.",Health Care,Health Care,-51.0,11.0,62.0
2026-05-19,MRSH,"MARSH & MCLENNAN COMPANIES, INC.",Financials,Financials,-53.0,-39.0,14.0
2026-05-19,MS,MORGAN STANLEY,Financials,Financials,-21.0,-8.0,13.0
2026-05-19,MSCI,MSCI INC.,Financials,Financials,-35.0,16.0,51.0
2026-05-19,MSFT,MICROSOFT ,Information Technology,Information Technology,27.0,-10.0,-37.0
2026-05-19,MSI,"MOTOROLA SOLUTIONS, INC.",Information Technology,Information Technology,0.0,0.0,0.0
2026-05-19,MTB,M&T BANK ,Financials,Financials,-23.0,17.0,40.0
2026-05-19,MTD,METTLER-TOLEDO INTERNATIONAL INC.,Health Care,Health Care,0.0,0.0,0.0
2026-05-19,MTUM,ISHARES:MSCI USA MOM FCT,,Sector & Style ETFs,0.0,-33.0,-33.0
2026-05-19,MU,"MICRON TECHNOLOGY, INC.",Information Technology,Information Technology,-3.0,-8.0,-5.0
