Date,Ticker,Ticker_name,Exposure,Category,model_score_qtd_change,current_model_score,previous_model_score
2026-05-28,MSCI,MSCI INC.,Financials,Financials,-30.0,-16.0,14.0
2026-05-28,MSFT,MICROSOFT ,Information Technology,Information Technology,10.0,-10.0,-20.0
2026-05-28,MSI,"MOTOROLA SOLUTIONS, INC.",Information Technology,Information Technology,-16.0,11.0,27.0
2026-05-28,MTB,M&T BANK ,Financials,Financials,-79.0,-5.0,74.0
2026-05-28,MTD,METTLER-TOLEDO INTERNATIONAL INC.,Health Care,Health Care,-65.0,0.0,65.0
2026-05-28,MTUM,ISHARES:MSCI USA MOM FCT,,Sector & Style ETFs,-24.0,-20.0,4.0
2026-05-28,MU,"MICRON TECHNOLOGY, INC.",Information Technology,Information Technology,-30.0,-40.0,-10.0
2026-05-28,MUB,ISHARES:NATL MUNI BOND,,Bonds,-82.0,-20.0,62.0
2026-05-28,NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD.,Consumer Discretionary,Consumer Discretionary,-39.0,-22.0,17.0
2026-05-28,NDAQ,"NASDAQ, INC.",Financials,Financials,-8.0,-4.0,4.0
2026-05-28,NDSN,NORDSON ,Industrials,Industrials,-11.0,25.0,36.0
2026-05-28,NDX,NASDAQ 100 INDEX,,Indices,-45.0,-34.0,11.0
2026-05-28,NEE,"NEXTERA ENERGY, INC.",Utilities,Utilities,-58.0,-4.0,54.0
2026-05-28,NEM,NEWMONT ,Materials,Materials,0.0,0.0,0.0
2026-05-28,NFLX,"NETFLIX, INC.",Communication Services,Communication Services,16.0,6.0,-10.0
2026-05-28,NI,NISOURCE INC.,Utilities,Utilities,-52.0,24.0,76.0
2026-05-28,NKE,"NIKE, INC.",Consumer Discretionary,Consumer Discretionary,-8.0,-7.0,1.0
2026-05-28,NOC,NORTHROP GRUMMAN ,Industrials,Industrials,18.0,29.0,11.0
2026-05-28,NORW,GLBL X MSCI NORWAY ETF,,Foreign,28.0,27.0,-1.0
2026-05-28,NOV,NOV INC.,,MR Discretion,-49.0,20.0,69.0
2026-05-28,NOW,"SERVICENOW, INC.",Information Technology,Information Technology,-12.0,-9.0,3.0
2026-05-28,NQ=F,NASDAQ 100 FUTURES,,Futures,-37.0,-34.0,3.0
2026-05-28,NRG,"NRG ENERGY, INC.",Utilities,Utilities,-2.0,-12.0,-10.0
2026-05-28,NSC,NORFOLK SOUTHERN ,Industrials,Industrials,-62.0,11.0,73.0
2026-05-28,NTAP,"NETAPP, INC.",Information Technology,Information Technology,6.0,-40.0,-46.0
